Date,SKU_ID,Warehouse_ID,Supplier_ID,Region,Units_Sold,Inventory_Level,Supplier_Lead_Time_Days,Reorder_Point,Order_Quantity,Unit_Cost,Unit_Price,Promotion_Flag,Stockout_Flag,Demand_Forecast,Year,Month,Month_Name,Quarter,Day_Name,Revenue,Total_Cost,Profit,Profit_Margin,Inventory_Value,Forecast_Error,Absolute_Forecast_Error,Inventory_Status,Days_of_Inventory,Inventory_Risk
2024-01-12,SKU_1,WH_1,SUP_8,West,29,803,14,379,470,13.95,20.48,1,0,31.65,2024,1,January,1,Friday,593.92,404.54999999999995,189.37,31.884765625000007,11201.849999999999,-2.6499999999999986,2.6499999999999986,Healthy,25.37124802527646,Medium Risk
2024-01-13,SKU_1,WH_1,SUP_8,North,25,778,14,379,0,13.95,20.48,0,0,25.08,2024,1,January,1,Saturday,512.0,348.75,163.25,31.884765625,10853.099999999999,-0.0799999999999983,0.0799999999999983,Healthy,31.0207336523126,Low Risk
2024-01-14,SKU_1,WH_1,SUP_8,South,26,752,14,379,0,13.95,20.48,0,0,24.39,2024,1,January,1,Sunday,532.48,362.7,169.78000000000003,31.884765625000007,10490.4,1.6099999999999994,1.6099999999999994,Healthy,30.83230832308323,Low Risk
2024-01-15,SKU_1,WH_1,SUP_8,North,19,733,14,379,0,13.95,20.48,1,0,21.16,2024,1,January,1,Monday,389.12,265.05,124.07,31.884765625,10225.35,-2.16,2.16,Healthy,34.640831758034025,Low Risk
2024-01-16,SKU_1,WH_1,SUP_8,West,19,714,14,379,0,13.95,20.48,0,0,20.84,2024,1,January,1,Tuesday,389.12,265.05,124.07,31.884765625,9960.3,-1.8399999999999999,1.8399999999999999,Healthy,34.26103646833013,Low Risk
2024-01-17,SKU_1,WH_1,SUP_8,East,26,688,14,379,0,13.95,20.48,0,0,23.28,2024,1,January,1,Wednesday,532.48,362.7,169.78000000000003,31.884765625000007,9597.6,2.719999999999999,2.719999999999999,Healthy,29.553264604810995,Low Risk
2024-01-18,SKU_1,WH_1,SUP_8,North,22,666,14,379,0,13.95,20.48,0,0,20.13,2024,1,January,1,Thursday,450.56,306.9,143.66000000000003,31.884765625000007,9290.699999999999,1.870000000000001,1.870000000000001,Healthy,33.0849478390462,Low Risk
2024-01-19,SKU_1,WH_1,SUP_8,North,28,638,14,379,0,13.95,20.48,1,0,31.49,2024,1,January,1,Friday,573.44,390.59999999999997,182.8400000000001,31.88476562500001,8900.1,-3.4899999999999984,3.4899999999999984,Healthy,20.260400127024454,Medium Risk
2024-01-20,SKU_1,WH_1,SUP_8,East,17,621,14,379,0,13.95,20.48,0,0,13.41,2024,1,January,1,Saturday,348.16,237.14999999999998,111.01000000000005,31.88476562500001,8662.949999999999,3.59,3.59,Healthy,46.308724832214764,Low Risk
2024-01-21,SKU_1,WH_1,SUP_8,East,25,596,14,379,0,13.95,20.48,0,0,19.95,2024,1,January,1,Sunday,512.0,348.75,163.25,31.884765625,8314.199999999999,5.050000000000001,5.050000000000001,Healthy,29.87468671679198,Low Risk
2024-01-22,SKU_1,WH_1,SUP_8,South,28,568,14,379,0,13.95,20.48,0,0,30.39,2024,1,January,1,Monday,573.44,390.59999999999997,182.8400000000001,31.88476562500001,7923.599999999999,-2.3900000000000006,2.3900000000000006,Healthy,18.690358670615332,Medium Risk
2024-01-23,SKU_1,WH_1,SUP_8,West,20,548,14,379,0,13.95,20.48,0,0,21.0,2024,1,January,1,Tuesday,409.6,279.0,130.60000000000002,31.884765625000007,7644.599999999999,-1.0,1.0,Healthy,26.095238095238095,Medium Risk
2024-01-24,SKU_1,WH_1,SUP_8,West,24,524,14,379,0,13.95,20.48,0,0,23.1,2024,1,January,1,Wednesday,491.52,334.79999999999995,156.72000000000003,31.884765625000007,7309.799999999999,0.8999999999999986,0.8999999999999986,Healthy,22.683982683982684,Medium Risk
2024-01-25,SKU_1,WH_1,SUP_8,East,20,504,14,379,0,13.95,20.48,0,0,21.27,2024,1,January,1,Thursday,409.6,279.0,130.60000000000002,31.884765625000007,7030.799999999999,-1.2699999999999996,1.2699999999999996,Healthy,23.69534555712271,Medium Risk
2024-01-26,SKU_1,WH_1,SUP_8,West,20,484,14,379,0,13.95,20.48,0,0,22.23,2024,1,January,1,Friday,409.6,279.0,130.60000000000002,31.884765625000007,6751.799999999999,-2.2300000000000004,2.2300000000000004,Healthy,21.77237966711651,Medium Risk
2024-01-27,SKU_1,WH_1,SUP_8,South,28,456,14,379,0,13.95,20.48,0,0,29.08,2024,1,January,1,Saturday,573.44,390.59999999999997,182.8400000000001,31.88476562500001,6361.2,-1.0799999999999983,1.0799999999999983,Healthy,15.680880330123797,Medium Risk
2024-01-28,SKU_1,WH_1,SUP_8,West,29,427,14,379,0,13.95,20.48,0,0,29.99,2024,1,January,1,Sunday,593.92,404.54999999999995,189.37,31.884765625000007,5956.65,-0.9899999999999984,0.9899999999999984,Healthy,14.238079359786596,Medium Risk
2024-01-29,SKU_1,WH_1,SUP_8,West,29,398,14,379,0,13.95,20.48,0,0,28.37,2024,1,January,1,Monday,593.92,404.54999999999995,189.37,31.884765625000007,5552.099999999999,0.629999999999999,0.629999999999999,Healthy,14.028903771589707,Medium Risk
2024-01-30,SKU_1,WH_1,SUP_8,North,23,375,14,379,0,13.95,20.48,0,0,25.02,2024,1,January,1,Tuesday,471.04,320.84999999999997,150.19000000000005,31.88476562500001,5231.25,-2.0199999999999996,2.0199999999999996,Reorder Required,14.98800959232614,Medium Risk
2024-01-31,SKU_1,WH_1,SUP_8,West,18,754,14,379,397,13.95,20.48,0,0,14.94,2024,1,January,1,Wednesday,368.64,251.1,117.53999999999999,31.884765625,10518.3,3.0600000000000005,3.0600000000000005,Healthy,50.468540829986615,Low Risk
2024-02-01,SKU_1,WH_1,SUP_8,South,34,720,14,379,0,13.95,20.48,0,0,33.54,2024,2,February,1,Thursday,696.32,474.29999999999995,222.0200000000001,31.88476562500001,10044.0,0.46000000000000085,0.46000000000000085,Healthy,21.466905187835422,Medium Risk
2024-02-02,SKU_1,WH_1,SUP_8,West,24,696,14,379,0,13.95,20.48,0,0,25.21,2024,2,February,1,Friday,491.52,334.79999999999995,156.72000000000003,31.884765625000007,9709.199999999999,-1.2100000000000009,1.2100000000000009,Healthy,27.608092026973424,Medium Risk
2024-02-03,SKU_1,WH_1,SUP_8,South,22,674,14,379,0,13.95,20.48,0,0,21.56,2024,2,February,1,Saturday,450.56,306.9,143.66000000000003,31.884765625000007,9402.3,0.4400000000000013,0.4400000000000013,Healthy,31.261595547309835,Low Risk
2024-02-04,SKU_1,WH_1,SUP_8,North,32,642,14,379,0,13.95,20.48,1,0,26.98,2024,2,February,1,Sunday,655.36,446.4,208.96000000000004,31.884765625000007,8955.9,5.02,5.02,Healthy,23.79540400296516,Medium Risk
2024-02-05,SKU_1,WH_1,SUP_8,East,25,617,14,379,0,13.95,20.48,0,0,26.03,2024,2,February,1,Monday,512.0,348.75,163.25,31.884765625,8607.15,-1.0300000000000011,1.0300000000000011,Healthy,23.70341913177103,Medium Risk
2024-02-06,SKU_1,WH_1,SUP_8,South,24,593,14,379,0,13.95,20.48,0,0,24.9,2024,2,February,1,Tuesday,491.52,334.79999999999995,156.72000000000003,31.884765625000007,8272.35,-0.8999999999999986,0.8999999999999986,Healthy,23.815261044176708,Medium Risk
2024-02-07,SKU_1,WH_1,SUP_8,East,35,558,14,379,0,13.95,20.48,0,0,29.18,2024,2,February,1,Wednesday,716.8000000000001,488.25,228.55000000000007,31.884765625000007,7784.099999999999,5.82,5.82,Healthy,19.12268677176148,Medium Risk
2024-02-08,SKU_1,WH_1,SUP_8,East,22,536,14,379,0,13.95,20.48,0,0,24.32,2024,2,February,1,Thursday,450.56,306.9,143.66000000000003,31.884765625000007,7477.2,-2.3200000000000003,2.3200000000000003,Healthy,22.039473684210527,Medium Risk
2024-02-09,SKU_1,WH_1,SUP_8,South,28,508,14,379,0,13.95,20.48,0,0,27.93,2024,2,February,1,Friday,573.44,390.59999999999997,182.8400000000001,31.88476562500001,7086.599999999999,0.07000000000000028,0.07000000000000028,Healthy,18.188327962764053,Medium Risk
2024-02-10,SKU_1,WH_1,SUP_8,North,21,487,14,379,0,13.95,20.48,0,0,19.3,2024,2,February,1,Saturday,430.08,292.95,137.13,31.884765625,6793.65,1.6999999999999993,1.6999999999999993,Healthy,25.23316062176166,Medium Risk
2024-02-11,SKU_1,WH_1,SUP_8,South,21,466,14,379,0,13.95,20.48,0,0,18.95,2024,2,February,1,Sunday,430.08,292.95,137.13,31.884765625,6500.7,2.0500000000000007,2.0500000000000007,Healthy,24.591029023746703,Medium Risk
2024-02-12,SKU_1,WH_1,SUP_8,West,29,437,14,379,0,13.95,20.48,0,0,25.33,2024,2,February,1,Monday,593.92,404.54999999999995,189.37,31.884765625000007,6096.15,3.6700000000000017,3.6700000000000017,Healthy,17.25227003553099,Medium Risk
2024-02-13,SKU_1,WH_1,SUP_8,West,37,400,14,379,0,13.95,20.48,1,0,29.59,2024,2,February,1,Tuesday,757.76,516.15,241.61,31.884765625,5580.0,7.41,7.41,Healthy,13.518080432578573,High Risk
2024-02-14,SKU_1,WH_1,SUP_8,East,23,377,14,379,0,13.95,20.48,0,0,22.03,2024,2,February,1,Wednesday,471.04,320.84999999999997,150.19000000000005,31.88476562500001,5259.15,0.9699999999999989,0.9699999999999989,Reorder Required,17.113027689514297,Medium Risk
2024-02-15,SKU_1,WH_1,SUP_8,South,21,699,14,379,343,13.95,20.48,0,0,23.22,2024,2,February,1,Thursday,430.08,292.95,137.13,31.884765625,9751.05,-2.219999999999999,2.219999999999999,Healthy,30.103359173126616,Low Risk
2024-02-16,SKU_1,WH_1,SUP_8,North,23,676,14,379,0,13.95,20.48,1,0,23.36,2024,2,February,1,Friday,471.04,320.84999999999997,150.19000000000005,31.88476562500001,9430.199999999999,-0.35999999999999943,0.35999999999999943,Healthy,28.938356164383563,Low Risk
2024-02-17,SKU_1,WH_1,SUP_8,East,20,656,14,379,0,13.95,20.48,0,0,23.57,2024,2,February,1,Saturday,409.6,279.0,130.60000000000002,31.884765625000007,9151.199999999999,-3.5700000000000003,3.5700000000000003,Healthy,27.8319898175647,Medium Risk
2024-02-18,SKU_1,WH_1,SUP_8,South,28,628,14,379,0,13.95,20.48,0,0,28.32,2024,2,February,1,Sunday,573.44,390.59999999999997,182.8400000000001,31.88476562500001,8760.6,-0.3200000000000003,0.3200000000000003,Healthy,22.17514124293785,Medium Risk
2024-02-19,SKU_1,WH_1,SUP_8,West,24,604,14,379,0,13.95,20.48,0,0,24.7,2024,2,February,1,Monday,491.52,334.79999999999995,156.72000000000003,31.884765625000007,8425.8,-0.6999999999999993,0.6999999999999993,Healthy,24.453441295546558,Medium Risk
2024-02-20,SKU_1,WH_1,SUP_8,West,31,573,14,379,0,13.95,20.48,0,0,36.37,2024,2,February,1,Tuesday,634.88,432.45,202.43,31.884765625,7993.349999999999,-5.369999999999997,5.369999999999997,Healthy,15.754742919989003,Medium Risk
2024-02-21,SKU_1,WH_1,SUP_8,South,28,545,14,379,0,13.95,20.48,0,0,24.35,2024,2,February,1,Wednesday,573.44,390.59999999999997,182.8400000000001,31.88476562500001,7602.75,3.6499999999999986,3.6499999999999986,Healthy,22.381930184804926,Medium Risk
2024-02-22,SKU_1,WH_1,SUP_8,West,27,518,14,379,0,13.95,20.48,0,0,25.85,2024,2,February,1,Thursday,552.96,376.65,176.31000000000006,31.88476562500001,7226.099999999999,1.1499999999999986,1.1499999999999986,Healthy,20.038684719535784,Medium Risk
2024-02-23,SKU_1,WH_1,SUP_8,North,32,486,14,379,0,13.95,20.48,0,0,33.24,2024,2,February,1,Friday,655.36,446.4,208.96000000000004,31.884765625000007,6779.7,-1.240000000000002,1.240000000000002,Healthy,14.620938628158845,Medium Risk
2024-02-24,SKU_1,WH_1,SUP_8,South,31,455,14,379,0,13.95,20.48,0,0,40.18,2024,2,February,1,Saturday,634.88,432.45,202.43,31.884765625,6347.25,-9.18,9.18,Healthy,11.32404181184669,High Risk
2024-02-25,SKU_1,WH_1,SUP_8,East,32,423,14,379,0,13.95,20.48,0,0,31.28,2024,2,February,1,Sunday,655.36,446.4,208.96000000000004,31.884765625000007,5900.849999999999,0.7199999999999989,0.7199999999999989,Healthy,13.523017902813299,High Risk
2024-02-26,SKU_1,WH_1,SUP_8,East,34,389,14,379,0,13.95,20.48,0,0,29.97,2024,2,February,1,Monday,696.32,474.29999999999995,222.0200000000001,31.88476562500001,5426.549999999999,4.030000000000001,4.030000000000001,Healthy,12.979646312979646,High Risk
2024-02-27,SKU_1,WH_1,SUP_8,East,31,358,14,379,0,13.95,20.48,0,0,28.43,2024,2,February,1,Tuesday,634.88,432.45,202.43,31.884765625,4994.099999999999,2.5700000000000003,2.5700000000000003,Reorder Required,12.5923320436159,High Risk
2024-02-28,SKU_1,WH_1,SUP_8,North,28,575,14,379,245,13.95,20.48,0,0,28.57,2024,2,February,1,Wednesday,573.44,390.59999999999997,182.8400000000001,31.88476562500001,8021.25,-0.5700000000000003,0.5700000000000003,Healthy,20.126006300315016,Medium Risk
2024-02-29,SKU_1,WH_1,SUP_8,East,31,544,14,379,0,13.95,20.48,0,0,25.17,2024,2,February,1,Thursday,634.88,432.45,202.43,31.884765625,7588.799999999999,5.829999999999998,5.829999999999998,Healthy,21.613031386571315,Medium Risk
2024-03-01,SKU_1,WH_1,SUP_8,North,33,511,14,379,0,13.95,20.48,1,0,35.33,2024,3,March,1,Friday,675.84,460.34999999999997,215.49000000000007,31.884765625000007,7128.45,-2.3299999999999983,2.3299999999999983,Healthy,14.463628644211719,Medium Risk
2024-03-02,SKU_1,WH_1,SUP_8,South,28,483,14,379,0,13.95,20.48,0,0,22.75,2024,3,March,1,Saturday,573.44,390.59999999999997,182.8400000000001,31.88476562500001,6737.849999999999,5.25,5.25,Healthy,21.23076923076923,Medium Risk
2024-03-03,SKU_1,WH_1,SUP_8,West,29,454,14,379,0,13.95,20.48,0,0,30.16,2024,3,March,1,Sunday,593.92,404.54999999999995,189.37,31.884765625000007,6333.299999999999,-1.1600000000000001,1.1600000000000001,Healthy,15.053050397877984,Medium Risk
2024-03-04,SKU_1,WH_1,SUP_8,East,32,422,14,379,0,13.95,20.48,0,0,28.76,2024,3,March,1,Monday,655.36,446.4,208.96000000000004,31.884765625000007,5886.9,3.2399999999999984,3.2399999999999984,Healthy,14.673157162726007,Medium Risk
2024-03-05,SKU_1,WH_1,SUP_8,North,34,388,14,379,0,13.95,20.48,0,0,34.15,2024,3,March,1,Tuesday,696.32,474.29999999999995,222.0200000000001,31.88476562500001,5412.599999999999,-0.14999999999999858,0.14999999999999858,Healthy,11.36163982430454,High Risk
2024-03-06,SKU_1,WH_1,SUP_8,East,31,357,14,379,0,13.95,20.48,0,0,28.82,2024,3,March,1,Wednesday,634.88,432.45,202.43,31.884765625,4980.15,2.1799999999999997,2.1799999999999997,Reorder Required,12.387231089521165,High Risk
2024-03-07,SKU_1,WH_1,SUP_8,West,31,538,14,379,212,13.95,20.48,0,0,32.54,2024,3,March,1,Thursday,634.88,432.45,202.43,31.884765625,7505.099999999999,-1.5399999999999991,1.5399999999999991,Healthy,16.533497234173325,Medium Risk
2024-03-08,SKU_1,WH_1,SUP_8,North,36,502,14,379,0,13.95,20.48,0,0,36.02,2024,3,March,1,Friday,737.28,502.2,235.07999999999998,31.884765625,7002.9,-0.020000000000003126,0.020000000000003126,Healthy,13.936701832315379,High Risk
2024-03-09,SKU_1,WH_1,SUP_8,East,26,476,14,379,0,13.95,20.48,0,0,25.62,2024,3,March,1,Saturday,532.48,362.7,169.78000000000003,31.884765625000007,6640.2,0.379999999999999,0.379999999999999,Healthy,18.579234972677593,Medium Risk
2024-03-10,SKU_1,WH_1,SUP_8,East,25,451,14,379,0,13.95,20.48,0,0,24.29,2024,3,March,1,Sunday,512.0,348.75,163.25,31.884765625,6291.45,0.7100000000000009,0.7100000000000009,Healthy,18.567311650885138,Medium Risk
2024-03-11,SKU_1,WH_1,SUP_8,South,24,427,14,379,0,13.95,20.48,0,0,22.63,2024,3,March,1,Monday,491.52,334.79999999999995,156.72000000000003,31.884765625000007,5956.65,1.370000000000001,1.370000000000001,Healthy,18.868758285461777,Medium Risk
2024-03-12,SKU_1,WH_1,SUP_8,West,27,400,14,379,0,13.95,20.48,0,0,27.24,2024,3,March,1,Tuesday,552.96,376.65,176.31000000000006,31.88476562500001,5580.0,-0.23999999999999844,0.23999999999999844,Healthy,14.684287812041116,Medium Risk
2024-03-13,SKU_1,WH_1,SUP_8,North,31,369,14,379,0,13.95,20.48,0,0,25.36,2024,3,March,1,Wednesday,634.88,432.45,202.43,31.884765625,5147.55,5.640000000000001,5.640000000000001,Reorder Required,14.550473186119874,Medium Risk
2024-03-14,SKU_1,WH_1,SUP_8,East,25,548,14,379,204,13.95,20.48,0,0,27.04,2024,3,March,1,Thursday,512.0,348.75,163.25,31.884765625,7644.599999999999,-2.039999999999999,2.039999999999999,Healthy,20.266272189349113,Medium Risk
2024-03-15,SKU_1,WH_1,SUP_8,East,29,519,14,379,0,13.95,20.48,0,0,27.05,2024,3,March,1,Friday,593.92,404.54999999999995,189.37,31.884765625000007,7240.049999999999,1.9499999999999993,1.9499999999999993,Healthy,19.186691312384472,Medium Risk
2024-03-16,SKU_1,WH_1,SUP_8,East,29,490,14,379,0,13.95,20.48,0,0,27.54,2024,3,March,1,Saturday,593.92,404.54999999999995,189.37,31.884765625000007,6835.5,1.4600000000000009,1.4600000000000009,Healthy,17.7923021060276,Medium Risk
2024-03-17,SKU_1,WH_1,SUP_8,South,25,465,14,379,0,13.95,20.48,0,0,29.98,2024,3,March,1,Sunday,512.0,348.75,163.25,31.884765625,6486.75,-4.98,4.98,Healthy,15.510340226817878,Medium Risk
2024-03-18,SKU_1,WH_1,SUP_8,South,27,438,14,379,0,13.95,20.48,1,0,25.97,2024,3,March,1,Monday,552.96,376.65,176.31000000000006,31.88476562500001,6110.099999999999,1.0300000000000011,1.0300000000000011,Healthy,16.86561417019638,Medium Risk
2024-03-19,SKU_1,WH_1,SUP_8,West,23,415,14,379,0,13.95,20.48,0,0,25.75,2024,3,March,1,Tuesday,471.04,320.84999999999997,150.19000000000005,31.88476562500001,5789.25,-2.75,2.75,Healthy,16.116504854368934,Medium Risk
2024-03-20,SKU_1,WH_1,SUP_8,North,25,390,14,379,0,13.95,20.48,0,0,30.77,2024,3,March,1,Wednesday,512.0,348.75,163.25,31.884765625,5440.5,-5.77,5.77,Healthy,12.674683132921677,High Risk
2024-03-21,SKU_1,WH_1,SUP_8,North,26,364,14,379,0,13.95,20.48,0,0,22.16,2024,3,March,1,Thursday,532.48,362.7,169.78000000000003,31.884765625000007,5077.8,3.84,3.84,Reorder Required,16.425992779783392,Medium Risk
2024-03-22,SKU_1,WH_1,SUP_8,North,26,584,14,379,246,13.95,20.48,0,0,25.21,2024,3,March,1,Friday,532.48,362.7,169.78000000000003,31.884765625000007,8146.799999999999,0.7899999999999991,0.7899999999999991,Healthy,23.165410551368502,Medium Risk
2024-03-23,SKU_1,WH_1,SUP_8,South,27,557,14,379,0,13.95,20.48,0,0,30.29,2024,3,March,1,Saturday,552.96,376.65,176.31000000000006,31.88476562500001,7770.15,-3.289999999999999,3.289999999999999,Healthy,18.38890723010895,Medium Risk
2024-03-24,SKU_1,WH_1,SUP_8,North,38,519,14,379,0,13.95,20.48,0,0,33.71,2024,3,March,1,Sunday,778.24,530.1,248.14,31.884765625,7240.049999999999,4.289999999999999,4.289999999999999,Healthy,15.396024918421833,Medium Risk
2024-03-25,SKU_1,WH_1,SUP_8,West,29,490,14,379,0,13.95,20.48,0,0,31.27,2024,3,March,1,Monday,593.92,404.54999999999995,189.37,31.884765625000007,6835.5,-2.2699999999999996,2.2699999999999996,Healthy,15.669971218420212,Medium Risk
2024-03-26,SKU_1,WH_1,SUP_8,West,28,462,14,379,0,13.95,20.48,0,0,28.18,2024,3,March,1,Tuesday,573.44,390.59999999999997,182.8400000000001,31.88476562500001,6444.9,-0.17999999999999972,0.17999999999999972,Healthy,16.394606103619587,Medium Risk
2024-03-27,SKU_1,WH_1,SUP_8,East,33,429,14,379,0,13.95,20.48,0,0,36.1,2024,3,March,1,Wednesday,675.84,460.34999999999997,215.49000000000007,31.884765625000007,5984.549999999999,-3.1000000000000014,3.1000000000000014,Healthy,11.88365650969529,High Risk
2024-03-28,SKU_1,WH_1,SUP_8,North,40,389,14,379,0,13.95,20.48,0,0,34.14,2024,3,March,1,Thursday,819.2,558.0,261.20000000000005,31.884765625000007,5426.549999999999,5.859999999999999,5.859999999999999,Healthy,11.394258933801991,High Risk
2024-03-29,SKU_1,WH_1,SUP_8,East,32,357,14,379,0,13.95,20.48,0,0,35.18,2024,3,March,1,Friday,655.36,446.4,208.96000000000004,31.884765625000007,4980.15,-3.1799999999999997,3.1799999999999997,Reorder Required,10.147811256395679,High Risk
2024-03-30,SKU_1,WH_1,SUP_8,North,27,793,14,379,463,13.95,20.48,0,0,27.62,2024,3,March,1,Saturday,552.96,376.65,176.31000000000006,31.88476562500001,11062.349999999999,-0.620000000000001,0.620000000000001,Healthy,28.711078928312816,Low Risk
2024-03-31,SKU_1,WH_1,SUP_8,North,26,767,14,379,0,13.95,20.48,0,0,24.93,2024,3,March,1,Sunday,532.48,362.7,169.78000000000003,31.884765625000007,10699.65,1.0700000000000003,1.0700000000000003,Healthy,30.76614520657842,Low Risk
2024-04-01,SKU_1,WH_1,SUP_8,West,32,735,14,379,0,13.95,20.48,0,0,31.76,2024,4,April,2,Monday,655.36,446.4,208.96000000000004,31.884765625000007,10253.25,0.23999999999999844,0.23999999999999844,Healthy,23.142317380352644,Medium Risk
2024-04-02,SKU_1,WH_1,SUP_8,North,33,702,14,379,0,13.95,20.48,0,0,34.83,2024,4,April,2,Tuesday,675.84,460.34999999999997,215.49000000000007,31.884765625000007,9792.9,-1.8299999999999983,1.8299999999999983,Healthy,20.155038759689923,Medium Risk
2024-04-03,SKU_1,WH_1,SUP_8,West,28,674,14,379,0,13.95,20.48,0,0,26.36,2024,4,April,2,Wednesday,573.44,390.59999999999997,182.8400000000001,31.88476562500001,9402.3,1.6400000000000006,1.6400000000000006,Healthy,25.569044006069802,Medium Risk
2024-04-04,SKU_1,WH_1,SUP_8,North,37,637,14,379,0,13.95,20.48,0,0,35.68,2024,4,April,2,Thursday,757.76,516.15,241.61,31.884765625,8886.15,1.3200000000000003,1.3200000000000003,Healthy,17.853139013452914,Medium Risk
2024-04-05,SKU_1,WH_1,SUP_8,West,33,604,14,379,0,13.95,20.48,0,0,26.24,2024,4,April,2,Friday,675.84,460.34999999999997,215.49000000000007,31.884765625000007,8425.8,6.760000000000002,6.760000000000002,Healthy,23.01829268292683,Medium Risk
2024-04-06,SKU_1,WH_1,SUP_8,North,33,571,14,379,0,13.95,20.48,0,0,32.07,2024,4,April,2,Saturday,675.84,460.34999999999997,215.49000000000007,31.884765625000007,7965.45,0.9299999999999997,0.9299999999999997,Healthy,17.80480199563455,Medium Risk
2024-04-07,SKU_1,WH_1,SUP_8,East,31,540,14,379,0,13.95,20.48,0,0,30.63,2024,4,April,2,Sunday,634.88,432.45,202.43,31.884765625,7533.0,0.370000000000001,0.370000000000001,Healthy,17.62977473065622,Medium Risk
2024-04-08,SKU_1,WH_1,SUP_8,North,50,490,14,379,0,13.95,20.48,1,0,53.2,2024,4,April,2,Monday,1024.0,697.5,326.5,31.884765625,6835.5,-3.200000000000003,3.200000000000003,Healthy,9.210526315789473,High Risk
2024-04-09,SKU_1,WH_1,SUP_8,North,35,455,14,379,0,13.95,20.48,0,0,41.43,2024,4,April,2,Tuesday,716.8000000000001,488.25,228.55000000000007,31.884765625000007,6347.25,-6.43,6.43,Healthy,10.982379917933864,High Risk
2024-04-10,SKU_1,WH_1,SUP_8,North,32,423,14,379,0,13.95,20.48,0,0,33.89,2024,4,April,2,Wednesday,655.36,446.4,208.96000000000004,31.884765625000007,5900.849999999999,-1.8900000000000006,1.8900000000000006,Healthy,12.481557981705517,High Risk
2024-04-11,SKU_1,WH_1,SUP_8,East,49,374,14,379,0,13.95,20.48,1,0,50.21,2024,4,April,2,Thursday,1003.52,683.55,319.97,31.884765625000007,5217.3,-1.2100000000000009,1.2100000000000009,Reorder Required,7.4487153953395735,High Risk
